change	surface	owner	dependency_kind	dependency	package
add	target	WaitingListLive Tests	-	-	-
add	root_dependency	-	package	postgres-nio	postgres-nio
add	root_dependency	-	package	swift-collections	swift-collections
add	root_dependency	-	package	swift-emailaddress	swift-emailaddress
add	root_dependency	-	package	swift-log	swift-log
add	root_dependency	-	package	swift-nio	swift-nio
add	root_dependency	-	package	swift-svg-render	swift-svg-render
add	declared_dependency	AccessControl Tests	product	Dependencies	swift-dependencies
add	declared_dependency	AccessControlLive	product	Logging	swift-log
add	declared_dependency	Account	product	GitHub Repositories Types	swift-github-types
add	declared_dependency	Account Tests	product	Dependencies	swift-dependencies
add	declared_dependency	AccountLive	product	Logging	swift-log
add	declared_dependency	Analytics Tests	product	Dependencies	swift-dependencies
add	declared_dependency	Billing Tests	product	Dependencies	swift-dependencies
add	declared_dependency	BillingLive	product	Logging	swift-log
add	declared_dependency	Cache Tests	product	Dependencies	swift-dependencies
add	declared_dependency	CacheLive	product	Logging	swift-log
add	declared_dependency	CacheLive	product	NIOCore	swift-nio
add	declared_dependency	CacheLive	product	NIOPosix	swift-nio
add	declared_dependency	Checkout Tests	product	Dependencies	swift-dependencies
add	declared_dependency	Checkout Tests	product	URLRouting	swift-url-routing
add	declared_dependency	Checkout Tests	target	Products	-
add	declared_dependency	CheckoutLive	product	Logging	swift-log
add	declared_dependency	Growth Tests	product	Dependencies	swift-dependencies
add	declared_dependency	GrowthLive	product	Logging	swift-log
add	declared_dependency	Pricing Tests	product	Dependencies	swift-dependencies
add	declared_dependency	Products Tests	product	Dependencies	swift-dependencies
add	declared_dependency	RepoTrafficRouter	product	Stripe Webhooks	swift-stripe
add	declared_dependency	RepoTrafficRouter Tests	by_name	Account	-
add	declared_dependency	RepoTrafficRouter Tests	by_name	Analytics	-
add	declared_dependency	RepoTrafficRouter Tests	product	Dependencies	swift-dependencies
add	declared_dependency	RepoTrafficRouter Tests	product	OrderedCollections	swift-collections
add	declared_dependency	RepoTrafficRouter Tests	product	Stripe Types Models	swift-stripe-types
add	declared_dependency	RepoTrafficRouter Tests	product	URLRouting	swift-url-routing
add	declared_dependency	Repositories	product	GitHub Types	swift-github-types
add	declared_dependency	Repositories Tests	product	Dependencies	swift-dependencies
add	declared_dependency	RepositoriesLive	product	Logging	swift-log
add	declared_dependency	Syncing Tests	product	Dependencies	swift-dependencies
add	declared_dependency	WaitingList	product	EmailAddress	swift-emailaddress
add	declared_dependency	WaitingList Tests	product	EmailAddress	swift-emailaddress
add	declared_dependency	WaitingList Tests	product	URLRouting	swift-url-routing
add	declared_dependency	WaitingListLive Tests	by_name	RepoTrafficRouter	-
add	declared_dependency	WaitingListLive Tests	by_name	RepoTrafficRouterLive	-
add	declared_dependency	WaitingListLive Tests	product	Dependencies	swift-dependencies
add	declared_dependency	WaitingListLive Tests	product	Dependencies Test Support	swift-dependencies
add	declared_dependency	WaitingListLive Tests	product	Mailgun Lists	swift-mailgun
add	declared_dependency	WaitingListLive Tests	product	Records	swift-records
add	declared_dependency	WaitingListLive Tests	product	ServerFoundationVapor	swift-server-foundation-vapor
add	declared_dependency	WaitingListLive Tests	target	WaitingList	-
add	declared_dependency	WaitingListLive Tests	target	WaitingListLive	-
add	declared_dependency	WaitingListRemote Tests	product	ServerFoundation	swift-server-foundation
add	declared_dependency	com_repotraffic	product	SVG Rendering	swift-svg-render
add	declared_dependency	com_repotraffic_app	by_name	GrowthLive	-
add	declared_dependency	com_repotraffic_app	product	EmailAddress	swift-emailaddress
add	declared_dependency	com_repotraffic_app	product	PostgresNIO	postgres-nio
add	declared_dependency	com_repotraffic_app	product	Stripe Billing	swift-stripe
add	declared_dependency	com_repotraffic_app	product	Stripe Products	swift-stripe
remove	declared_dependency	AccessControl	product	IdentitiesTypes	swift-identities-types
remove	declared_dependency	AccessControl	product	Stripe Checkout Types	swift-stripe-types
remove	declared_dependency	AccessControl	product	Stripe Customers Types	swift-stripe-types
remove	declared_dependency	AccessControl	product	Stripe Events Types	swift-stripe-types
remove	declared_dependency	AccessControl	product	Stripe Products Types	swift-stripe-types
remove	declared_dependency	AccessControl	target	Billing	-
remove	declared_dependency	AccessControlLive	product	PostgreSQL Standard	swift-postgresql-standard
remove	declared_dependency	AccessControlLive	product	Server PostgreSQL	swift-server
remove	declared_dependency	Account	product	GitHub	swift-github
remove	declared_dependency	Account	product	PostgreSQL Standard	swift-postgresql-standard
remove	declared_dependency	Account	product	Server PostgreSQL	swift-server
remove	declared_dependency	Account	product	Stripe Checkout Types	swift-stripe-types
remove	declared_dependency	Account	product	Stripe Customers Types	swift-stripe-types
remove	declared_dependency	Account	product	Stripe Events Types	swift-stripe-types
remove	declared_dependency	Account	product	Stripe Products Types	swift-stripe-types
remove	declared_dependency	AccountLive	by_name	BillingLive	-
remove	declared_dependency	AccountLive	by_name	Growth	-
remove	declared_dependency	AccountLive	by_name	GrowthLive	-
remove	declared_dependency	AccountLive	product	GitHub Types	swift-github-types
remove	declared_dependency	AccountLive	product	PostgreSQL Standard	swift-postgresql-standard
remove	declared_dependency	AccountLive	product	Server	swift-server
remove	declared_dependency	AccountLive	product	Server Dependencies Integration	swift-server
remove	declared_dependency	AccountLive	product	Server PostgreSQL	swift-server
remove	declared_dependency	Analytics	product	GitHub	swift-github
remove	declared_dependency	Analytics	product	Stripe Checkout Types	swift-stripe-types
remove	declared_dependency	Analytics	product	Stripe Customers Types	swift-stripe-types
remove	declared_dependency	Analytics	product	Stripe Events Types	swift-stripe-types
remove	declared_dependency	Analytics	product	Stripe Products Types	swift-stripe-types
remove	declared_dependency	Analytics	target	RepoTrafficUI	-
remove	declared_dependency	AnalyticsLive	product	PostgreSQL Standard	swift-postgresql-standard
remove	declared_dependency	AnalyticsLive	product	Server	swift-server
remove	declared_dependency	AnalyticsLive	product	Server Dependencies Integration	swift-server
remove	declared_dependency	AnalyticsLive	product	Server PostgreSQL	swift-server
remove	declared_dependency	Billing	product	PostgreSQL Standard	swift-postgresql-standard
remove	declared_dependency	Billing	product	Server	swift-server
remove	declared_dependency	Billing	product	Server Dependencies Integration	swift-server
remove	declared_dependency	Billing	product	Server PostgreSQL	swift-server
remove	declared_dependency	Billing	product	Stripe Customers Types	swift-stripe-types
remove	declared_dependency	BillingLive	product	GitHub	swift-github
remove	declared_dependency	BillingLive	product	GitHub Types	swift-github-types
remove	declared_dependency	BillingLive	product	PostgreSQL Standard	swift-postgresql-standard
remove	declared_dependency	BillingLive	product	Server	swift-server
remove	declared_dependency	BillingLive	product	Server Dependencies Integration	swift-server
remove	declared_dependency	BillingLive	product	Server PostgreSQL	swift-server
remove	declared_dependency	CacheLive	product	Server	swift-server
remove	declared_dependency	CacheLive	product	Server Dependencies Integration	swift-server
remove	declared_dependency	Checkout	product	Server	swift-server
remove	declared_dependency	Checkout	product	Server Dependencies Integration	swift-server
